shipment_id,carrier,origin,destination,mode,status,distance_km,weight_tons,value_usd,delay_hours,risk_score,weather_severity,port_congestion,eta
SHP-100001,Maersk,Shanghai,Rotterdam,sea,On Schedule,11200,245.3,1250000,0,0.22,0.15,0.30,2024-08-15T14:00:00
SHP-100002,MSC,Singapore,Los Angeles,sea,Delayed,14800,312.1,890000,18,0.71,0.60,0.75,2024-08-17T08:00:00
SHP-100003,DHL,Mumbai,Frankfurt,air,On Schedule,6400,2.8,450000,0,0.18,0.10,0.20,2024-08-13T22:00:00
SHP-100004,CMA CGM,Dubai,Hamburg,sea,Customs Hold,7100,189.5,2100000,36,0.65,0.25,0.55,2024-08-18T10:00:00
SHP-100005,Hapag-Lloyd,Tokyo,New York,sea,In Transit,10800,420.0,3200000,0,0.35,0.30,0.40,2024-08-20T06:00:00
SHP-100006,FedEx,Shanghai,London,air,On Schedule,9500,4.2,780000,0,0.12,0.05,0.15,2024-08-13T16:00:00
SHP-100007,Evergreen,Singapore,Rotterdam,sea,Critical Delay,10800,567.8,4500000,72,0.88,0.80,0.90,2024-08-22T00:00:00
SHP-100008,COSCO,Shanghai,Los Angeles,sea,In Transit,11000,298.6,1800000,0,0.28,0.20,0.35,2024-08-19T12:00:00
SHP-100009,UPS,Dubai,New York,air,On Schedule,11200,3.1,290000,0,0.15,0.08,0.12,2024-08-14T04:00:00
SHP-100010,Maersk,Cape Town,Rotterdam,sea,Delayed,9500,445.2,2800000,24,0.58,0.45,0.62,2024-08-21T18:00:00
SHP-100011,MSC,Mumbai,Singapore,sea,On Schedule,3000,88.4,560000,0,0.20,0.18,0.25,2024-08-15T20:00:00
SHP-100012,DHL,Frankfurt,Tokyo,air,In Transit,9500,5.6,670000,0,0.22,0.12,0.18,2024-08-14T10:00:00
SHP-100013,CMA CGM,Rotterdam,New York,sea,At Port,6000,334.7,1950000,0,0.32,0.28,0.42,2024-08-17T14:00:00
SHP-100014,Hapag-Lloyd,Shanghai,Sydney,sea,Delayed,8100,178.9,1100000,30,0.62,0.55,0.68,2024-08-20T22:00:00
SHP-100015,FedEx,Los Angeles,London,air,On Schedule,8800,2.4,340000,0,0.16,0.06,0.14,2024-08-13T18:00:00
